src,dst
esquina_8037,esquina_6801
esquina_5865,esquina_3416
esquina_5469,esquina_648
esquina_3471,esquina_6561
esquina_6056,esquina_8935
esquina_4854,esquina_9039
esquina_285,esquina_6672
esquina_5130,esquina_3645
esquina_1783,esquina_2193
esquina_5818,esquina_5108
esquina_4202,esquina_814
esquina_1401,esquina_1446
esquina_4881,esquina_1209
esquina_6629,esquina_6545
esquina_4622,esquina_8716
esquina_5077,esquina_9036
esquina_6785,esquina_5979
esquina_5121,esquina_1876
esquina_9076,esquina_5994
esquina_9001,esquina_5783
esquina_8141,esquina_7586
esquina_4021,esquina_9205
esquina_7149,esquina_3128
esquina_8525,esquina_4496
esquina_5189,esquina_2312
esquina_3677,esquina_7821
esquina_1201,esquina_2962
esquina_4702,esquina_3447
esquina_6546,esquina_7884
esquina_431,esquina_7675
esquina_9795,esquina_4156
esquina_5346,esquina_6913
esquina_2092,esquina_6346
esquina_9535,esquina_550
esquina_8384,esquina_5605
esquina_6511,esquina_1835
esquina_438,esquina_5501
esquina_9623,esquina_354
esquina_5339,esquina_5840
esquina_3558,esquina_2447
esquina_873,esquina_5698
esquina_5550,esquina_3276
esquina_2896,esquina_156
esquina_4578,esquina_9163
esquina_267,esquina_6773
esquina_5441,esquina_8390
esquina_6796,esquina_1561
esquina_5502,esquina_3248
esquina_8139,esquina_3462
esquina_3537,esquina_8710
esquina_9360,esquina_7729
esquina_5687,esquina_5334
esquina_8814,esquina_4398
esquina_9779,esquina_5813
esquina_7402,esquina_924
esquina_3439,esquina_2250
esquina_7158,esquina_6237
esquina_4515,esquina_6555
esquina_1080,esquina_8362
esquina_7909,esquina_1353
esquina_7932,esquina_9426
esquina_7865,esquina_8680
esquina_4968,esquina_1219
esquina_1350,esquina_2968
esquina_3966,esquina_917
esquina_2745,esquina_8860
esquina_7661,esquina_1032
esquina_5752,esquina_2549
esquina_5502,esquina_6664
esquina_1151,esquina_4592
esquina_865,esquina_9539
esquina_5998,esquina_6708
esquina_4681,esquina_2601
esquina_4766,esquina_4682
esquina_3026,esquina_775
esquina_8624,esquina_6037
esquina_8627,esquina_1879
esquina_3800,esquina_5604
esquina_4376,esquina_1014
esquina_8419,esquina_5307
esquina_5455,esquina_3998
esquina_9728,esquina_5448
esquina_5109,esquina_6207
esquina_2062,esquina_1429
esquina_7608,esquina_6687
esquina_9192,esquina_9256
esquina_5193,esquina_8936
esquina_1251,esquina_9056
esquina_1768,esquina_7535
esquina_1235,esquina_1450
esquina_8650,esquina_9364
esquina_9587,esquina_6526
esquina_843,esquina_8622
esquina_8367,esquina_9253
esquina_3720,esquina_3961
esquina_402,esquina_7977
esquina_4972,esquina_8856
esquina_6016,esquina_6811
esquina_2031,esquina_8716
esquina_5215,esquina_8562
esquina_2418,esquina_7951
esquina_8916,esquina_8958
esquina_6320,esquina_5972
esquina_2551,esquina_1283
esquina_7595,esquina_7657
esquina_3346,esquina_2112
esquina_9442,esquina_624
esquina_105,esquina_6351
esquina_3005,esquina_7420
esquina_4414,esquina_9737
esquina_1779,esquina_6188
esquina_8520,esquina_6928
esquina_3802,esquina_7816
esquina_6817,esquina_8636
esquina_8588,esquina_21
esquina_7685,esquina_7287
esquina_9944,esquina_7647
esquina_7780,esquina_3228
esquina_7659,esquina_9624
esquina_6575,esquina_7264
esquina_4986,esquina_6308
esquina_350,esquina_7444
esquina_2473,esquina_6099
esquina_737,esquina_201
esquina_2,esquina_3877
esquina_4977,esquina_8416
esquina_2949,esquina_4320
esquina_6414,esquina_1757
esquina_9358,esquina_8197
esquina_9516,esquina_8290
esquina_6833,esquina_4256
esquina_8474,esquina_8516
esquina_617,esquina_5622
esquina_1522,esquina_1561
esquina_9201,esquina_8356
esquina_36,esquina_8212
esquina_6296,esquina_5220
esquina_197,esquina_4824
esquina_7423,esquina_7517
esquina_787,esquina_1979
esquina_6837,esquina_9750
esquina_9526,esquina_8364
esquina_2304,esquina_1608
esquina_1734,esquina_3532
esquina_7287,esquina_2580
esquina_4163,esquina_6895
esquina_5033,esquina_7149
esquina_6553,esquina_4992
esquina_256,esquina_8998
esquina_739,esquina_1278
esquina_6211,esquina_4601
esquina_1473,esquina_8140
esquina_1498,esquina_939
esquina_5837,esquina_5973
esquina_1078,esquina_1956
esquina_9151,esquina_3262
esquina_3125,esquina_4584
esquina_6611,esquina_5496
esquina_6849,esquina_5887
esquina_9163,esquina_6294
esquina_3042,esquina_8341
esquina_6441,esquina_850
esquina_5111,esquina_2131
esquina_7889,esquina_7341
esquina_2691,esquina_6430
esquina_8631,esquina_9687
esquina_448,esquina_3089
esquina_8764,esquina_4145
esquina_6836,esquina_1216
esquina_6928,esquina_8457
esquina_6233,esquina_6404
esquina_1993,esquina_124
esquina_8698,esquina_6718
esquina_6478,esquina_3455
esquina_896,esquina_3124
esquina_8388,esquina_7193
esquina_3118,esquina_3562
esquina_947,esquina_9886
esquina_1334,esquina_6328
esquina_1662,esquina_1152
esquina_941,esquina_5692
esquina_1159,esquina_8857
esquina_1029,esquina_3045
esquina_2107,esquina_2836
esquina_5299,esquina_8732
esquina_910,esquina_5079
esquina_7921,esquina_3537
esquina_4105,esquina_4241
esquina_8415,esquina_8361
esquina_8519,esquina_5033
esquina_5495,esquina_319
esquina_8825,esquina_234
esquina_6897,esquina_1950
esquina_3534,esquina_5523
esquina_8951,esquina_8417
esquina_1677,esquina_4590
esquina_9491,esquina_7360
esquina_6376,esquina_4087
esquina_6136,esquina_2889
esquina_4923,esquina_6233
esquina_5047,esquina_9264
esquina_4352,esquina_9222
esquina_19,esquina_6931
esquina_3589,esquina_3666
esquina_8483,esquina_1134
esquina_562,esquina_9016
esquina_9532,esquina_7724
esquina_6265,esquina_3127
esquina_4485,esquina_1374
esquina_7999,esquina_9734
esquina_9053,esquina_409
esquina_6176,esquina_5766
esquina_1320,esquina_3134
esquina_7464,esquina_9486
esquina_3138,esquina_7508
esquina_4491,esquina_8334
esquina_5628,esquina_389
esquina_6351,esquina_2847
esquina_2695,esquina_5610
esquina_8323,esquina_9563
esquina_1292,esquina_668
esquina_2941,esquina_8281
esquina_758,esquina_7018
esquina_7869,esquina_1407
esquina_3589,esquina_4339
esquina_2471,esquina_261
esquina_4536,esquina_5594
esquina_8743,esquina_7873
esquina_8873,esquina_6901
esquina_6005,esquina_5198
esquina_7878,esquina_8269
esquina_168,esquina_6218
esquina_1031,esquina_4184
esquina_200,esquina_5706
esquina_1673,esquina_597
esquina_7041,esquina_6265
esquina_7636,esquina_6256
esquina_9591,esquina_3608
esquina_9455,esquina_2862
esquina_2046,esquina_711
esquina_8138,esquina_3019
esquina_5656,esquina_9877
esquina_9622,esquina_6974
esquina_3276,esquina_7409
esquina_3393,esquina_7887
esquina_7425,esquina_2865
esquina_5108,esquina_4824
esquina_8592,esquina_1946
esquina_1526,esquina_2103
esquina_896,esquina_9296
esquina_1030,esquina_1752
esquina_9971,esquina_3641
esquina_7661,esquina_9418
esquina_7852,esquina_4329
esquina_382,esquina_4416
esquina_1292,esquina_2221
esquina_4989,esquina_7310
esquina_5864,esquina_8793
esquina_2505,esquina_829
esquina_1333,esquina_1432
esquina_8970,esquina_788
esquina_1993,esquina_7131
esquina_1195,esquina_3424
esquina_505,esquina_6244
esquina_8155,esquina_692
esquina_6223,esquina_1874
esquina_9777,esquina_1587
esquina_353,esquina_5574
esquina_6014,esquina_5139
esquina_3804,esquina_377
esquina_9019,esquina_1094
esquina_9180,esquina_6976
esquina_1793,esquina_7608
esquina_2610,esquina_9822
esquina_9558,esquina_194
esquina_9023,esquina_375
esquina_9243,esquina_6545
esquina_3757,esquina_5072
esquina_9041,esquina_56
esquina_6258,esquina_1210
esquina_3677,esquina_4385
esquina_6846,esquina_5324
esquina_6295,esquina_1019
esquina_4924,esquina_8723
esquina_5340,esquina_4824
esquina_5042,esquina_366
esquina_9346,esquina_651
esquina_4252,esquina_7722
esquina_4529,esquina_4071
esquina_2437,esquina_6942
esquina_6632,esquina_9802
esquina_3473,esquina_4986
esquina_2395,esquina_7394
esquina_5588,esquina_9892
esquina_4073,esquina_9286
esquina_6868,esquina_110
esquina_1987,esquina_1601
esquina_6288,esquina_7543
esquina_2059,esquina_2855
esquina_6102,esquina_9517
esquina_3051,esquina_2710
esquina_4275,esquina_6387
esquina_5334,esquina_7744
esquina_4246,esquina_1885
esquina_8519,esquina_4921
esquina_988,esquina_3949
esquina_570,esquina_3234
esquina_5096,esquina_6273
esquina_4634,esquina_9911
esquina_3094,esquina_3031
esquina_1989,esquina_8860
esquina_9765,esquina_5143
esquina_1124,esquina_8770
esquina_172,esquina_2259
esquina_7,esquina_8841
esquina_949,esquina_915
esquina_2564,esquina_6022
esquina_7423,esquina_3495
esquina_6231,esquina_3067
esquina_7475,esquina_4071
esquina_7396,esquina_2967
esquina_8481,esquina_1855
esquina_2088,esquina_2182
esquina_6240,esquina_5980
esquina_5902,esquina_2639
esquina_337,esquina_5952
esquina_2054,esquina_7944
esquina_9580,esquina_559
esquina_6914,esquina_5838
esquina_5098,esquina_6062
esquina_3216,esquina_2133
esquina_2855,esquina_6795
esquina_9682,esquina_8387
esquina_9009,esquina_6937
esquina_7581,esquina_7612
esquina_204,esquina_5404
esquina_5090,esquina_5595
esquina_2088,esquina_7522
esquina_6055,esquina_5516
esquina_444,esquina_4791
esquina_1424,esquina_7162
esquina_1350,esquina_119
esquina_9963,esquina_7237
esquina_3021,esquina_8914
esquina_7985,esquina_9322
esquina_2010,esquina_4043
esquina_8944,esquina_3790
esquina_2706,esquina_8133
esquina_3757,esquina_3154
esquina_955,esquina_1932
esquina_4552,esquina_1791
esquina_4846,esquina_3608
esquina_7477,esquina_2264
esquina_3955,esquina_7096
esquina_1057,esquina_4506
esquina_3326,esquina_7668
esquina_4418,esquina_8714
esquina_6192,esquina_2440
esquina_6150,esquina_2659
esquina_926,esquina_3870
esquina_2450,esquina_9950
esquina_8917,esquina_4591
esquina_5333,esquina_1603
esquina_5542,esquina_4803
esquina_879,esquina_6325
esquina_3283,esquina_1326
esquina_5035,esquina_3666
esquina_5177,esquina_5578
esquina_169,esquina_8463
esquina_7706,esquina_1893
esquina_4653,esquina_8353
esquina_9704,esquina_7903
esquina_9670,esquina_228
esquina_9847,esquina_3000
esquina_7194,esquina_9485
esquina_5197,esquina_656
esquina_8694,esquina_6851
esquina_2577,esquina_3549
esquina_4724,esquina_2907
esquina_5222,esquina_4585
esquina_4067,esquina_6238
esquina_1910,esquina_9430
esquina_865,esquina_9412
esquina_6137,esquina_4625
esquina_8701,esquina_2340
esquina_4877,esquina_675
esquina_5236,esquina_6058
esquina_4988,esquina_7688
esquina_7045,esquina_2319
esquina_6892,esquina_2210
esquina_1317,esquina_2170
esquina_6760,esquina_5390
esquina_3239,esquina_4426
esquina_9247,esquina_2209
esquina_1677,esquina_3802
esquina_4442,esquina_2890
esquina_6124,esquina_2478
esquina_6500,esquina_6909
esquina_72,esquina_2933
esquina_6688,esquina_4295
esquina_582,esquina_2965
esquina_283,esquina_1857
esquina_5376,esquina_2915
esquina_7043,esquina_1827
esquina_1589,esquina_1431
esquina_2981,esquina_6824
esquina_5878,esquina_2709
esquina_5946,esquina_1172
esquina_9441,esquina_3578
esquina_5492,esquina_3712
esquina_4240,esquina_2984
esquina_8509,esquina_9734
esquina_800,esquina_1275
esquina_8484,esquina_5080
esquina_4865,esquina_4416
esquina_7692,esquina_2360
esquina_8960,esquina_5240
esquina_2343,esquina_1623
esquina_9719,esquina_7117
esquina_8178,esquina_9988
esquina_678,esquina_9083
esquina_7417,esquina_522
esquina_602,esquina_5621
esquina_3572,esquina_4235
esquina_9913,esquina_2128
esquina_8733,esquina_5447
esquina_6566,esquina_9811
esquina_909,esquina_9517
esquina_9165,esquina_9758
esquina_2609,esquina_7923
esquina_2914,esquina_5227
esquina_8095,esquina_4364
esquina_4279,esquina_7600
esquina_1573,esquina_9239
esquina_9707,esquina_4025
esquina_659,esquina_3814
esquina_3183,esquina_9461
esquina_4223,esquina_6522
esquina_2479,esquina_9390
esquina_2816,esquina_1922
esquina_7118,esquina_8034
esquina_6748,esquina_4535
esquina_703,esquina_1765
esquina_7314,esquina_6234
esquina_9433,esquina_2689
esquina_6919,esquina_3169
esquina_6714,esquina_2091
esquina_583,esquina_4881
esquina_7602,esquina_3067
esquina_2101,esquina_5873
esquina_1062,esquina_8527
esquina_6714,esquina_7891
esquina_6854,esquina_176
esquina_4858,esquina_6335
esquina_4157,esquina_3770
esquina_3374,esquina_4149
esquina_5209,esquina_2918
esquina_2571,esquina_945
esquina_3035,esquina_8652
esquina_1329,esquina_8182
esquina_6744,esquina_3412
esquina_4599,esquina_5376
esquina_9383,esquina_4090
esquina_9311,esquina_6160
esquina_2214,esquina_2850
esquina_320,esquina_6896
esquina_8928,esquina_5027
esquina_2566,esquina_9211
esquina_5038,esquina_5575
esquina_843,esquina_1310
esquina_3235,esquina_9774
esquina_2080,esquina_9863
esquina_7042,esquina_9921
esquina_3861,esquina_8414
esquina_4044,esquina_7108
esquina_3424,esquina_8545
esquina_5848,esquina_2220
esquina_9776,esquina_8410
esquina_699,esquina_9265
esquina_4409,esquina_774
esquina_4213,esquina_4277
esquina_3288,esquina_9538
esquina_3783,esquina_1886
esquina_5632,esquina_6267
esquina_4245,esquina_2773
esquina_7755,esquina_2456
esquina_9919,esquina_4862
esquina_1775,esquina_7523
esquina_3226,esquina_7640
esquina_4757,esquina_8269
esquina_1206,esquina_1984
esquina_9668,esquina_1690
esquina_3692,esquina_154
esquina_3922,esquina_3005
esquina_5693,esquina_135
esquina_743,esquina_9244
esquina_800,esquina_8426
esquina_4998,esquina_5041
esquina_205,esquina_4697
esquina_560,esquina_6020
esquina_6936,esquina_1795
esquina_4009,esquina_2158
esquina_3787,esquina_5919
esquina_9247,esquina_9353
esquina_9421,esquina_7749
esquina_1062,esquina_4001
esquina_2586,esquina_6223
esquina_1958,esquina_6016
esquina_2614,esquina_4781
esquina_1108,esquina_2147
esquina_3811,esquina_9669
esquina_4851,esquina_2456
esquina_5942,esquina_5042
esquina_237,esquina_7806
esquina_4861,esquina_3694
esquina_4417,esquina_8025
esquina_1923,esquina_156
esquina_2401,esquina_7690
esquina_9288,esquina_7945
esquina_2743,esquina_5119
esquina_6411,esquina_8230
esquina_2661,esquina_8558
esquina_6519,esquina_86
esquina_3608,esquina_9770
esquina_5437,esquina_7817
esquina_3099,esquina_7870
esquina_8438,esquina_6646
esquina_3948,esquina_278
esquina_6553,esquina_3036
esquina_4015,esquina_8314
esquina_1721,esquina_5837
esquina_7310,esquina_3087
esquina_8478,esquina_4711
esquina_158,esquina_2624
esquina_4774,esquina_8834
esquina_330,esquina_8470
esquina_3318,esquina_6645
esquina_4978,esquina_4944
esquina_9268,esquina_5433
esquina_4963,esquina_5017
esquina_1589,esquina_9403
esquina_1318,esquina_2130
esquina_9737,esquina_8602
esquina_8565,esquina_1050
esquina_3622,esquina_2633
esquina_8742,esquina_9258
esquina_210,esquina_9719
esquina_3510,esquina_6102
esquina_3693,esquina_6934
esquina_3560,esquina_2854
esquina_0,esquina_4127
esquina_9814,esquina_1695
esquina_5345,esquina_8370
esquina_3786,esquina_3056
esquina_4724,esquina_8608
esquina_5361,esquina_6512
esquina_4219,esquina_1627
esquina_7139,esquina_7921
esquina_2391,esquina_9151
esquina_4856,esquina_197
esquina_1039,esquina_6752
esquina_4220,esquina_3676
esquina_3955,esquina_1376
esquina_7770,esquina_4628
esquina_600,esquina_837
esquina_1061,esquina_2835
esquina_6204,esquina_1460
esquina_206,esquina_5266
esquina_3907,esquina_6585
esquina_7726,esquina_3095
esquina_2432,esquina_5489
esquina_7713,esquina_5981
esquina_1843,esquina_4437
esquina_2213,esquina_2069
esquina_7907,esquina_8353
esquina_3520,esquina_5970
esquina_47,esquina_7022
esquina_5562,esquina_9290
esquina_5856,esquina_3423
esquina_3449,esquina_1056
esquina_4851,esquina_2010
esquina_3819,esquina_2937
esquina_9858,esquina_2252
esquina_9106,esquina_1049
esquina_5391,esquina_3146
esquina_4281,esquina_8121
esquina_21,esquina_8126
esquina_4375,esquina_880
esquina_2986,esquina_8340
esquina_8917,esquina_8453
esquina_7315,esquina_7382
esquina_6078,esquina_5203
esquina_8925,esquina_4539
esquina_4486,esquina_4788
esquina_7913,esquina_4282
esquina_2120,esquina_3504
esquina_7759,esquina_1839
esquina_8547,esquina_5686
esquina_2504,esquina_4696
esquina_9071,esquina_9833
esquina_7173,esquina_9447
esquina_5342,esquina_8853
esquina_6468,esquina_4992
esquina_8380,esquina_3576
esquina_6332,esquina_1995
esquina_3694,esquina_787
esquina_9568,esquina_5630
esquina_8895,esquina_3654
esquina_9661,esquina_34
esquina_7968,esquina_2044
esquina_549,esquina_7633
esquina_4541,esquina_3141
esquina_381,esquina_6904
esquina_371,esquina_3137
esquina_7403,esquina_8484
esquina_8768,esquina_2378
esquina_9774,esquina_7934
esquina_8437,esquina_9865
esquina_751,esquina_2811
esquina_4461,esquina_4740
esquina_33,esquina_6396
esquina_88,esquina_1865
esquina_6881,esquina_2556
esquina_6473,esquina_8051
esquina_5354,esquina_4771
esquina_475,esquina_402
esquina_9653,esquina_3010
esquina_4792,esquina_5737
esquina_4335,esquina_9220
esquina_8071,esquina_6186
esquina_2779,esquina_7724
esquina_9563,esquina_1529
esquina_6810,esquina_9650
esquina_8658,esquina_2793
esquina_7510,esquina_5397
esquina_5375,esquina_6317
esquina_9473,esquina_7582
esquina_1033,esquina_4847
esquina_2265,esquina_7913
esquina_7946,esquina_7650
