data,hora,cidade,volume_transmitido_mb
2024-04-01,06:52,Tirana,0.6
2024-04-05,23:24,Pristina,4.97
2024-04-02,17:44,Skopje,12.61
2024-04-01,18:42,Tirana,7.98
2024-04-02,11:43,Skopje,6.25
2024-04-03,09:20,Sarajevo,17.08
2024-04-03,00:34,Podgorica,1.63
2024-04-07,02:27,Sarajevo,26.27
2024-04-01,11:38,Skopje,1.58
2024-04-06,03:20,Skopje,28.17
2024-04-07,22:51,Skopje,44.95
2024-04-04,10:26,Sarajevo,10.19
2024-04-06,01:06,Skopje,13.84
2024-04-04,21:08,Tirana,20.94
2024-04-01,17:42,Podgorica,1.43
2024-04-05,13:01,Pristina,11.96
2024-04-04,16:54,Pristina,11.84
2024-04-04,08:46,Podgorica,2.31
2024-04-02,18:19,Podgorica,30.25
2024-04-04,16:13,Podgorica,18.11
2024-04-05,19:38,Skopje,18.37
2024-04-04,20:21,Skopje,64.73
2024-04-07,23:28,Skopje,31.85
2024-04-06,04:54,Skopje,64.03
2024-04-03,04:21,Podgorica,18.47
2024-04-03,00:43,Pristina,12.26
2024-04-05,03:37,Pristina,6.01
2024-04-03,23:08,Pristina,0.17
2024-04-07,10:33,Pristina,20.26
2024-04-07,07:26,Podgorica,15.71
2024-04-01,08:24,Podgorica,7.05
2024-04-01,13:43,Skopje,11.27
2024-04-02,11:05,Pristina,0.18
2024-04-02,06:52,Sarajevo,5.84
2024-04-04,17:08,Skopje,4.38
2024-04-05,07:10,Tirana,14.89
2024-04-03,10:06,Tirana,82.2
2024-04-03,07:30,Tirana,34.71
2024-04-01,22:33,Skopje,45.06
2024-04-06,06:15,Sarajevo,14.52
2024-04-05,17:39,Skopje,9.35
2024-04-01,08:59,Skopje,1.21
2024-04-03,14:55,Sarajevo,9.06
2024-04-04,16:40,Skopje,5.56
2024-04-02,22:19,Podgorica,4.74
2024-04-06,08:34,Skopje,25.93
2024-04-01,04:15,Sarajevo,13.05
2024-04-01,00:09,Sarajevo,40.49
2024-04-04,13:24,Sarajevo,0.4
2024-04-02,12:33,Skopje,65.46
2024-04-06,04:09,Skopje,7.19
2024-04-05,19:38,Sarajevo,12.63
2024-04-06,01:06,Skopje,2.16
2024-04-02,09:20,Skopje,11.46
2024-04-02,00:20,Podgorica,13.2
2024-04-04,08:09,Podgorica,28.42
2024-04-06,00:45,Skopje,3.44
2024-04-04,07:40,Skopje,13.98
2024-04-04,10:56,Skopje,21.22
2024-04-06,00:39,Skopje,0.34
2024-04-01,12:50,Pristina,11.01
2024-04-01,17:57,Sarajevo,51.62
2024-04-04,08:58,Skopje,7.75
2024-04-03,08:14,Skopje,8.18
2024-04-04,05:53,Podgorica,24.52
2024-04-05,18:41,Sarajevo,6.48
2024-04-05,19:41,Tirana,12.14
2024-04-01,22:11,Skopje,11.89
2024-04-07,15:10,Pristina,7.58
2024-04-06,08:50,Tirana,17.94
2024-04-01,02:17,Podgorica,39.17
2024-04-03,11:39,Pristina,1.03
2024-04-06,12:21,Skopje,10.18
2024-04-03,15:38,Skopje,13.0
2024-04-05,08:14,Skopje,2.07
2024-04-05,07:58,Skopje,7.67
2024-04-07,07:31,Tirana,3.01
2024-04-02,07:27,Skopje,9.64
2024-04-05,16:57,Tirana,3.8
2024-04-04,21:05,Podgorica,4.9
2024-04-05,20:21,Skopje,1.93
2024-04-02,15:53,Pristina,33.7
2024-04-07,21:45,Skopje,17.59
2024-04-05,07:10,Skopje,14.83
2024-04-05,12:13,Skopje,2.56
2024-04-04,01:52,Skopje,4.86
2024-04-01,21:16,Podgorica,64.31
2024-04-01,00:55,Pristina,9.94
2024-04-06,15:50,Tirana,11.37
2024-04-05,17:29,Podgorica,0.56
2024-04-04,13:26,Skopje,17.43
2024-04-05,12:26,Podgorica,11.39
2024-04-06,07:53,Skopje,6.56
2024-04-06,15:52,Skopje,20.06
2024-04-01,17:42,Skopje,5.83
2024-04-06,07:21,Skopje,11.5
2024-04-03,11:56,Skopje,13.51
2024-04-06,17:38,Tirana,15.7
2024-04-05,10:11,Pristina,11.55
2024-04-06,12:23,Tirana,13.25
2024-04-02,17:12,Tirana,6.17
2024-04-02,05:21,Sarajevo,4.2
2024-04-03,15:32,Pristina,40.7
2024-04-02,04:53,Skopje,6.82
2024-04-05,20:26,Pristina,1.38
2024-04-03,14:15,Podgorica,34.06
2024-04-06,20:34,Skopje,0.28
2024-04-07,07:51,Tirana,1.78
2024-04-06,16:35,Skopje,0.08
2024-04-02,18:31,Sarajevo,19.25
2024-04-03,23:29,Podgorica,12.2
2024-04-05,09:16,Tirana,22.01
2024-04-07,11:33,Skopje,18.62
2024-04-03,22:08,Skopje,11.32
2024-04-07,18:45,Podgorica,13.06
2024-04-05,20:28,Skopje,11.41
2024-04-01,00:09,Skopje,11.93
2024-04-05,21:21,Pristina,5.84
2024-04-06,21:52,Podgorica,2.24
2024-04-02,23:04,Skopje,13.58
2024-04-03,10:10,Pristina,6.44
2024-04-01,03:55,Sarajevo,7.88
2024-04-03,10:50,Sarajevo,41.79
2024-04-07,18:42,Skopje,39.15
2024-04-05,03:11,Podgorica,22.82
2024-04-07,13:24,Podgorica,3.38
2024-04-04,08:20,Skopje,3.09
2024-04-01,01:17,Skopje,11.11
2024-04-01,17:45,Skopje,7.47
2024-04-07,14:30,Podgorica,18.77
2024-04-06,10:04,Sarajevo,5.38
2024-04-02,12:30,Podgorica,12.92
2024-04-03,19:13,Skopje,11.76
2024-04-03,18:58,Sarajevo,11.74
2024-04-01,20:02,Pristina,6.12
2024-04-04,23:42,Skopje,14.52
2024-04-07,13:26,Pristina,12.77
2024-04-01,18:40,Sarajevo,18.41
2024-04-02,14:56,Podgorica,0.51
2024-04-04,04:52,Tirana,31.41
2024-04-05,04:28,Skopje,1.76
2024-04-05,09:59,Podgorica,13.89
2024-04-03,13:59,Pristina,2.44
2024-04-03,00:11,Skopje,22.17
2024-04-02,20:34,Skopje,17.76
2024-04-07,23:06,Pristina,13.71
2024-04-05,06:46,Podgorica,9.3
2024-04-02,16:43,Sarajevo,36.43
2024-04-01,16:24,Skopje,4.44
2024-04-03,10:51,Podgorica,1.62
2024-04-03,16:36,Sarajevo,18.43
2024-04-07,02:35,Skopje,7.04
2024-04-03,21:06,Skopje,20.0
2024-04-03,15:17,Sarajevo,36.23
2024-04-04,23:32,Skopje,62.84
2024-04-07,12:37,Podgorica,27.26
2024-04-03,19:01,Skopje,10.97
2024-04-02,21:08,Tirana,7.15
2024-04-06,19:53,Podgorica,24.36
2024-04-06,12:50,Skopje,7.62
2024-04-06,12:53,Pristina,6.38
2024-04-06,23:29,Skopje,37.6
2024-04-07,08:26,Tirana,9.03
2024-04-02,09:10,Skopje,2.71
2024-04-05,09:20,Skopje,22.75
2024-04-02,21:13,Skopje,0.2
2024-04-01,16:06,Tirana,55.66
2024-04-03,22:43,Pristina,8.03
2024-04-07,21:16,Skopje,3.06
2024-04-02,05:19,Skopje,1.04
2024-04-06,14:18,Podgorica,24.13
2024-04-02,21:17,Skopje,3.17
2024-04-06,21:17,Skopje,27.17
2024-04-01,12:48,Tirana,22.41
2024-04-05,14:45,Pristina,8.72
2024-04-05,00:37,Pristina,21.75
2024-04-03,07:35,Skopje,29.68
2024-04-04,09:13,Sarajevo,4.74
2024-04-03,09:31,Tirana,24.2
2024-04-07,22:55,Sarajevo,18.88
2024-04-01,13:52,Tirana,12.04
2024-04-06,21:59,Skopje,1.65
2024-04-05,16:02,Podgorica,32.77
2024-04-06,12:50,Tirana,4.18
2024-04-02,18:18,Podgorica,49.31
2024-04-05,14:12,Sarajevo,7.82
2024-04-05,06:30,Skopje,15.05
2024-04-03,22:42,Podgorica,1.96
2024-04-01,21:48,Sarajevo,8.21
2024-04-05,18:12,Sarajevo,6.27
2024-04-01,23:29,Skopje,6.77
2024-04-02,01:55,Skopje,14.68
2024-04-05,22:03,Pristina,3.72
2024-04-01,23:07,Sarajevo,2.26
2024-04-02,20:39,Sarajevo,63.37
2024-04-04,08:31,Pristina,8.31
2024-04-02,18:53,Skopje,20.3
2024-04-01,21:44,Tirana,4.47
2024-04-02,18:21,Skopje,62.41
2024-04-07,05:56,Pristina,0.28
2024-04-04,19:15,Sarajevo,10.34
2024-04-05,00:36,Skopje,15.81
2024-04-02,03:02,Podgorica,1.69
2024-04-02,10:34,Skopje,34.54
2024-04-03,23:03,Sarajevo,4.33
2024-04-07,00:06,Tirana,12.77
2024-04-03,02:28,Podgorica,7.25
2024-04-03,22:25,Pristina,2.73
2024-04-02,23:46,Podgorica,1.42
2024-04-03,20:44,Podgorica,7.4
2024-04-06,07:59,Skopje,37.07
2024-04-07,13:22,Podgorica,44.73
2024-04-02,21:11,Skopje,41.43
2024-04-04,18:08,Podgorica,4.72
2024-04-02,05:22,Pristina,27.63
2024-04-06,07:54,Podgorica,13.63
2024-04-01,02:33,Skopje,9.64
2024-04-02,15:03,Skopje,19.54
2024-04-07,08:10,Pristina,13.68
2024-04-06,12:50,Pristina,25.65
2024-04-06,19:23,Podgorica,51.49
2024-04-05,15:07,Skopje,6.72
2024-04-03,20:10,Skopje,49.09
2024-04-03,12:40,Podgorica,8.86
2024-04-01,22:21,Skopje,47.61
2024-04-02,21:08,Podgorica,21.35
2024-04-05,22:39,Podgorica,28.38
2024-04-04,17:47,Skopje,3.75
2024-04-06,14:04,Sarajevo,16.63
2024-04-04,08:06,Skopje,110.16
2024-04-03,04:37,Tirana,37.06
2024-04-07,03:00,Skopje,19.7
2024-04-06,13:27,Skopje,53.14
2024-04-05,16:17,Sarajevo,20.5
2024-04-03,02:42,Skopje,5.77
2024-04-04,17:52,Podgorica,15.75
2024-04-02,20:27,Skopje,1.93
2024-04-03,01:43,Skopje,8.72
2024-04-06,17:10,Pristina,5.68
2024-04-04,19:08,Pristina,16.26
2024-04-07,00:44,Podgorica,14.35
2024-04-06,21:42,Skopje,9.3
2024-04-04,00:26,Sarajevo,31.16
2024-04-03,15:30,Pristina,1.09
2024-04-02,09:52,Skopje,7.71
2024-04-01,04:31,Pristina,31.03
2024-04-04,00:41,Sarajevo,1.44
2024-04-04,01:55,Skopje,20.07
2024-04-02,10:10,Skopje,9.45
2024-04-02,09:53,Skopje,5.27
2024-04-06,10:32,Skopje,4.87
2024-04-02,19:52,Sarajevo,1.74
2024-04-07,08:35,Skopje,3.69
2024-04-07,08:10,Sarajevo,13.32
2024-04-06,04:46,Sarajevo,43.43
2024-04-02,07:08,Pristina,67.9
2024-04-04,22:50,Podgorica,7.7
2024-04-04,18:29,Podgorica,14.04
2024-04-06,01:14,Pristina,2.91
2024-04-05,10:42,Skopje,26.25
2024-04-06,17:25,Podgorica,52.16
2024-04-02,07:53,Sarajevo,11.17
2024-04-02,17:06,Skopje,21.3
2024-04-06,16:34,Tirana,25.38
2024-04-06,01:27,Skopje,20.67
2024-04-04,05:55,Skopje,13.02
2024-04-02,03:20,Skopje,7.44
2024-04-01,20:18,Skopje,46.74
2024-04-07,18:32,Sarajevo,12.01
2024-04-07,08:55,Skopje,4.37
2024-04-04,17:30,Skopje,19.28
2024-04-06,17:08,Pristina,3.73
2024-04-03,19:16,Tirana,71.47
2024-04-07,14:36,Skopje,9.83
2024-04-02,21:45,Tirana,12.71
2024-04-05,07:03,Tirana,12.51
2024-04-07,13:57,Skopje,11.05
2024-04-02,11:39,Sarajevo,28.52
2024-04-02,04:24,Sarajevo,6.1
2024-04-07,21:08,Skopje,17.1
2024-04-02,17:09,Tirana,3.15
2024-04-01,09:16,Sarajevo,30.82
2024-04-06,06:01,Skopje,25.72
2024-04-07,18:46,Skopje,2.63
2024-04-07,02:20,Podgorica,10.62
2024-04-04,17:03,Skopje,1.32
2024-04-02,10:24,Skopje,1.85
2024-04-04,03:43,Skopje,11.65
2024-04-04,18:45,Podgorica,5.0
2024-04-04,17:12,Skopje,49.45
2024-04-01,09:31,Skopje,2.97
2024-04-01,04:37,Podgorica,41.52
2024-04-01,21:05,Tirana,44.15
2024-04-07,07:49,Skopje,18.49
2024-04-06,16:53,Pristina,14.55
2024-04-02,15:13,Skopje,69.3
2024-04-04,08:11,Tirana,20.77
2024-04-02,16:28,Skopje,7.26
2024-04-06,10:13,Skopje,6.97
2024-04-07,16:45,Podgorica,9.48
2024-04-06,01:06,Sarajevo,9.01
2024-04-07,07:18,Skopje,26.22
2024-04-02,06:23,Skopje,1.29
2024-04-03,03:33,Tirana,2.11
2024-04-01,16:28,Sarajevo,43.13
2024-04-03,21:39,Pristina,7.6
2024-04-04,21:46,Skopje,7.9
2024-04-03,11:58,Sarajevo,20.55
2024-04-03,02:56,Skopje,15.82
2024-04-04,17:50,Skopje,9.57
2024-04-04,14:19,Pristina,3.08
2024-04-03,08:20,Sarajevo,2.5
2024-04-03,12:33,Pristina,21.47
2024-04-01,15:59,Tirana,5.23
2024-04-04,02:33,Sarajevo,14.38
2024-04-03,05:44,Podgorica,0.02
2024-04-02,07:15,Tirana,8.44
2024-04-07,09:28,Skopje,2.63
2024-04-05,14:44,Tirana,4.7
2024-04-06,23:06,Podgorica,62.36
2024-04-06,21:05,Skopje,17.11
2024-04-06,19:17,Skopje,5.17
2024-04-02,10:03,Tirana,22.7
2024-04-01,03:33,Skopje,20.74
2024-04-05,16:11,Skopje,64.76
2024-04-07,02:23,Skopje,9.88
2024-04-02,21:20,Skopje,12.3
2024-04-06,13:52,Skopje,10.94
2024-04-02,08:29,Skopje,0.51
2024-04-01,15:17,Skopje,5.83
2024-04-01,01:29,Sarajevo,17.54
2024-04-03,02:41,Podgorica,0.63
2024-04-02,07:35,Tirana,15.18
2024-04-02,08:05,Podgorica,13.55
2024-04-07,16:31,Tirana,5.33
2024-04-03,17:11,Sarajevo,18.78
2024-04-06,20:42,Podgorica,9.94
2024-04-01,03:27,Tirana,11.9
2024-04-06,23:21,Podgorica,9.83
2024-04-06,11:07,Skopje,19.73
2024-04-05,23:39,Skopje,4.26
2024-04-01,21:06,Skopje,3.71
2024-04-03,09:07,Sarajevo,20.46
2024-04-02,15:16,Sarajevo,16.13
2024-04-03,13:05,Pristina,0.32
2024-04-04,05:24,Tirana,84.13
2024-04-07,05:06,Sarajevo,17.1
2024-04-05,05:18,Skopje,3.41
2024-04-05,20:45,Podgorica,48.58
2024-04-02,10:31,Pristina,8.31
2024-04-07,15:39,Skopje,21.9
2024-04-02,04:32,Pristina,10.82
2024-04-07,13:45,Tirana,19.38
2024-04-07,16:33,Pristina,23.62
2024-04-01,23:14,Tirana,5.01
2024-04-03,13:54,Skopje,14.63
2024-04-03,01:18,Tirana,4.03
2024-04-05,18:55,Podgorica,13.81
2024-04-01,08:45,Tirana,53.31
2024-04-04,05:28,Skopje,4.26
2024-04-02,03:26,Sarajevo,13.48
2024-04-03,04:35,Tirana,13.48
2024-04-06,16:59,Skopje,4.48
2024-04-04,20:23,Tirana,13.7
2024-04-05,21:42,Skopje,9.07
2024-04-01,10:29,Skopje,2.79
2024-04-05,02:17,Pristina,16.6
2024-04-05,08:36,Skopje,4.29
2024-04-05,14:56,Tirana,4.37
2024-04-07,14:19,Skopje,0.56
2024-04-05,05:56,Podgorica,11.44
2024-04-07,20:07,Podgorica,24.57
2024-04-02,05:02,Tirana,12.25
2024-04-02,08:19,Pristina,4.72
2024-04-07,14:28,Skopje,41.38
2024-04-05,08:22,Skopje,3.82
2024-04-04,14:18,Skopje,5.7
2024-04-01,20:29,Pristina,17.48
2024-04-02,14:09,Skopje,50.34
2024-04-06,04:33,Skopje,54.23
2024-04-06,02:31,Tirana,10.87
2024-04-06,06:35,Pristina,11.4
2024-04-04,23:57,Skopje,5.52
2024-04-01,14:51,Podgorica,16.79
2024-04-06,18:40,Sarajevo,19.69
2024-04-04,04:52,Skopje,49.59
2024-04-04,15:18,Skopje,43.4
2024-04-05,08:17,Tirana,4.2
2024-04-01,05:02,Podgorica,12.68
2024-04-07,23:35,Skopje,23.81
2024-04-03,03:12,Sarajevo,3.64
2024-04-03,04:04,Tirana,16.49
2024-04-06,15:25,Tirana,16.09
2024-04-06,15:33,Sarajevo,5.74
2024-04-04,14:48,Sarajevo,30.69
2024-04-03,05:50,Podgorica,20.12
2024-04-03,04:53,Sarajevo,5.94
2024-04-03,11:13,Tirana,21.55
2024-04-07,06:42,Podgorica,30.48
2024-04-06,16:29,Skopje,11.8
2024-04-03,14:06,Skopje,14.92
2024-04-02,12:30,Tirana,17.83
2024-04-04,21:12,Skopje,13.61
2024-04-05,04:59,Pristina,0.22
2024-04-05,22:37,Tirana,14.49
2024-04-07,09:38,Pristina,11.73
2024-04-01,19:37,Sarajevo,1.73
2024-04-04,01:19,Skopje,13.02
2024-04-06,17:14,Pristina,21.72
2024-04-05,13:30,Podgorica,0.28
2024-04-07,09:26,Skopje,34.05
2024-04-05,13:02,Skopje,4.19
2024-04-01,02:20,Sarajevo,6.5
2024-04-05,04:12,Skopje,14.41
2024-04-03,12:10,Pristina,39.8
2024-04-06,01:51,Pristina,1.41
2024-04-05,17:07,Podgorica,25.99
2024-04-01,21:26,Pristina,17.14
2024-04-05,21:32,Skopje,3.06
2024-04-06,15:05,Skopje,3.07
2024-04-04,14:43,Sarajevo,9.91
2024-04-07,16:00,Podgorica,7.01
2024-04-05,08:44,Pristina,13.8
2024-04-05,18:29,Podgorica,13.5
2024-04-01,00:09,Podgorica,2.88
2024-04-05,08:55,Skopje,6.54
2024-04-01,21:56,Skopje,5.39
2024-04-03,13:23,Podgorica,8.27
2024-04-01,02:25,Tirana,21.83
2024-04-07,16:54,Skopje,13.25
2024-04-01,08:02,Skopje,30.52
2024-04-07,03:33,Pristina,0.36
2024-04-01,16:27,Tirana,3.46
2024-04-07,08:40,Tirana,7.44
2024-04-06,03:41,Tirana,2.29
2024-04-04,00:38,Skopje,17.82
2024-04-05,17:00,Pristina,18.97
2024-04-02,15:09,Tirana,1.65
2024-04-07,12:22,Podgorica,22.22
2024-04-06,10:43,Skopje,3.2
2024-04-04,14:29,Skopje,6.58
2024-04-05,15:44,Skopje,26.74
2024-04-02,17:15,Tirana,3.99
2024-04-06,03:17,Pristina,13.48
2024-04-06,12:59,Tirana,5.88
2024-04-04,15:29,Skopje,77.09
2024-04-07,13:04,Tirana,80.99
2024-04-03,22:11,Pristina,0.93
2024-04-07,23:40,Tirana,15.12
2024-04-01,03:27,Podgorica,7.9
2024-04-03,03:23,Pristina,6.41
2024-04-05,22:43,Tirana,9.66
2024-04-06,04:06,Skopje,7.65
2024-04-07,18:12,Skopje,20.04
2024-04-02,15:28,Podgorica,27.68
2024-04-03,19:17,Pristina,4.46
2024-04-04,09:35,Podgorica,2.05
2024-04-07,17:55,Podgorica,18.5
2024-04-04,04:16,Skopje,3.87
2024-04-02,16:08,Skopje,1.38
2024-04-02,17:36,Sarajevo,5.47
2024-04-06,06:14,Skopje,42.81
2024-04-06,20:53,Sarajevo,37.77
2024-04-04,01:57,Pristina,12.54
2024-04-03,20:27,Skopje,40.02
2024-04-07,02:25,Skopje,14.83
2024-04-06,07:09,Tirana,24.59
2024-04-06,08:13,Podgorica,1.27
2024-04-05,16:01,Pristina,2.5
2024-04-06,02:53,Skopje,55.7
2024-04-04,22:16,Tirana,12.84
2024-04-03,22:59,Pristina,13.99
2024-04-04,09:57,Skopje,26.52
2024-04-02,18:10,Skopje,7.63
2024-04-02,18:09,Skopje,1.06
2024-04-01,08:56,Skopje,3.97
2024-04-05,23:39,Skopje,50.64
2024-04-07,01:34,Pristina,10.58
2024-04-05,03:07,Pristina,28.6
2024-04-04,00:29,Skopje,13.84
2024-04-05,11:10,Skopje,0.95
2024-04-05,12:08,Podgorica,0.9
2024-04-04,14:15,Sarajevo,5.29
2024-04-04,18:48,Pristina,22.9
2024-04-05,10:46,Skopje,17.67
2024-04-02,03:18,Skopje,3.9
2024-04-01,23:23,Skopje,5.48
2024-04-04,03:17,Tirana,8.33
2024-04-06,11:10,Skopje,8.96
2024-04-02,01:49,Skopje,2.92
2024-04-03,13:56,Skopje,0.17
2024-04-06,11:38,Pristina,8.13
2024-04-05,17:13,Podgorica,17.14
2024-04-07,07:32,Skopje,3.63
2024-04-06,20:33,Skopje,14.89
2024-04-03,23:08,Skopje,0.65
2024-04-04,04:32,Skopje,11.91
2024-04-02,15:15,Pristina,4.64
2024-04-05,01:07,Skopje,30.0
2024-04-01,09:53,Skopje,9.69
2024-04-07,16:51,Skopje,29.45
2024-04-02,20:32,Skopje,46.63
2024-04-01,06:32,Podgorica,42.93
2024-04-03,12:31,Podgorica,4.41
2024-04-03,16:57,Podgorica,4.38
2024-04-06,04:11,Podgorica,15.21
2024-04-05,18:29,Tirana,15.19
2024-04-05,22:19,Tirana,8.98
2024-04-05,22:03,Sarajevo,10.77
2024-04-04,10:20,Tirana,0.58
2024-04-03,09:36,Podgorica,1.12
2024-04-02,21:11,Skopje,0.54
2024-04-01,06:05,Pristina,71.67
2024-04-04,16:50,Sarajevo,16.24
2024-04-07,05:24,Skopje,16.2
2024-04-04,18:39,Podgorica,8.28
2024-04-05,12:31,Skopje,51.56
2024-04-03,15:59,Skopje,3.88
2024-04-07,08:34,Sarajevo,1.94
2024-04-07,19:25,Tirana,1.08
2024-04-03,23:25,Sarajevo,33.92
2024-04-03,14:27,Skopje,5.2
2024-04-01,13:00,Sarajevo,13.1
2024-04-07,14:23,Podgorica,14.38
2024-04-01,08:41,Skopje,6.19
2024-04-05,00:24,Sarajevo,7.07
2024-04-05,22:48,Tirana,2.68
2024-04-01,11:25,Skopje,0.19
2024-04-07,18:39,Sarajevo,5.72
2024-04-04,09:15,Sarajevo,37.69
2024-04-05,23:25,Skopje,9.26
2024-04-06,05:27,Podgorica,12.24
2024-04-07,21:51,Skopje,2.93
2024-04-04,00:10,Pristina,4.71
2024-04-03,10:57,Pristina,1.71
2024-04-05,13:39,Tirana,25.54
2024-04-03,20:02,Skopje,2.45
2024-04-03,14:34,Skopje,21.29
2024-04-07,01:06,Podgorica,5.3
2024-04-02,17:00,Tirana,1.48
2024-04-07,14:16,Tirana,21.48
2024-04-06,22:33,Skopje,12.25
